Names,Tickers
Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM.BO
"Gujchem Distillers India Ltd.,",GUJCMDS.BO
"Sadhana Nitrochem Ltd.,",SADHNANIQ.BO
"Sudarshan Chemical Indus. Ltd.,",SUDARSCHEM.BO
Tecil Chemicals & Hydro Power Limit,TECILCHEM.BO
"Ultramarine & Pigments Ltd.,",ULTRAMAR.BO
"Transpek Industry Ltd.,",TRANSPEK.BO
"Unichem Laboratories Ltd.,",UNICHEMLAB.BO
"Mysore Petro Chemicals Ltd.,",MYSORPETRO.BO
"Alkyl Amines Chemicals Ltd.,",ALKYLAMINE.BO
TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LIMITED,TUTIALKA.BO
AstraZeneca Pharma India Ltd.,ASTRAZEN.BO
Primo Chemicals Limited,PRIMO.BO
"TANFAC Industries Ltd.,",TANFACIND.BO
Gujarat Petrosynthese Ltd.,GUJPETR.BO
Gujarat Themis Biosyn Ltd.,GUJTHEM.BO
Saptak Chem And Business Limited,SCBL.BO
"Jaysynth Dyestuff (India) Ltd.,",JAYSYN.BO
